,data_url,neighborhood,code_postal
68,https://www.point2homes.com//CA/Home-For-Sale/ON/Toronto/Maryvale/1075-Ellesmere-Rd-80/84741838.html,Maryvale,M1P5C3
69,https://www.point2homes.com//CA/Condo-For-Sale/ON/Toronto/The-Queensway/1185-The-Queensway-Ave/85741960.html,The Queensway,M8Z 0C6
70,https://www.point2homes.com//CA/Condo-For-Sale/ON/Toronto/Bay-Street-Corridor/8-Silver-Bell-Grve-1003/86557572.html,Bay Street Corridor,M1B4Z3
71,https://www.point2homes.com//CA/Home-For-Sale/ON/Toronto/Fort-York/30-Ordnance-St/85649794.html,Fort York,M6K1A2
72,https://www.point2homes.com//CA/Home-For-Sale/ON/Toronto/Wexford/14-Highwood-Ave/85825401.html,Wexford,M1R 2E4
73,https://www.point2homes.com//CA/Home-For-Sale/ON/Toronto/Bendale/2794-Eglinton-Ave-E-Toronto-Ontario-M1J-2C8/82071673.html,Bendale,M1J 2C8
74,https://www.point2homes.com//CA/Home-For-Sale/ON/Toronto/The-Queensway/17-Zorra-St-Toronto-Ontario-M8Z4Z6/80549771.html,The Queensway,M8Z4Z6
75,https://www.point2homes.com//CA/Home-For-Sale/ON/Toronto/Curran-Hall/No-address-available/80198034.html,Curran Hall,M1H 2Y5
76,https://www.point2homes.com//CA/Condo-For-Sale/ON/Toronto/Downtown-Toronto/St-Lawrence/8-the-Esplanade-ave/72343174.html,St. Lawrence,M5E0A6
77,https://www.point2homes.com//CA/Condo-For-Sale/ON/Toronto/Fort-York/637-Lake-Shore-Blvd/86230105.html,Fort York,M5V 3J6
78,https://www.point2homes.com//CA/Home-For-Sale/ON/Toronto/Hillcrest-Village/3740-Don-Mills-Rd-Toronto-Ontario-M2H3J2/84966302.html,Hillcrest Village,M2H3J2
79,https://www.point2homes.com//CA/Home-For-Sale/ON/Toronto/Bayview-Village/18-Kenaston-Gdns/85825572.html,Bayview Village,M2K 1G8
80,https://www.point2homes.com//CA/Home-For-Sale/ON/Toronto/Swansea/105-The-Queensway-Ave-Toronto-Ontario-M6S-5B5/85867995.html,Swansea,M6S 5B5
81,https://www.point2homes.com//CA/Home-For-Sale/ON/Toronto/Cityplace/85-Queens-Wharf-Rd-Toronto-Ontario-M5V0J9/86315076.html,Cityplace,M5V0J9
82,https://www.point2homes.com//CA/Home-For-Sale/ON/Toronto/Bayview-Village/18-Kenaston-Gdns/85865991.html,Bayview Village,M2K 1G8
83,https://www.point2homes.com//CA/Condo-For-Sale/ON/Toronto/Downtown-Toronto/St-Lawrence/222-The-Esplanade/85530400.html,St. Lawrence,M5A4M8
84,https://www.point2homes.com//CA/Home-For-Sale/ON/Toronto/Bayview-Village/19-Singer-Crt/86092820.html,Bayview Village,
85,https://www.point2homes.com//CA/Home-For-Sale/ON/Toronto/Downsview/18-Cartwright-Ave/84871731.html,Downsview,M6A 1T7
86,https://www.point2homes.com//CA/Home-For-Sale/ON/Toronto/Bayview-Village/No-address-available/85781258.html,Bayview Village,M2K 1T9
87,https://www.point2homes.com//CA/Home-For-Sale/ON/Toronto/Maryvale/1075-Ellesmere-Rd-80/84741838.html,Maryvale,M1P5C3
