,address,long,lat,data_url,price_$CAN,beds,baths,sqft,type
308,"85 East Liberty St, Toronto, Ontario",-79.415396,43.637897,/CA/Home-For-Sale/ON/Toronto/King-West-Village/85-East-Liberty-St/86725164.html,"$695,000 CAD",2 Beds,2 Baths,--,Residential
309,"14 Glen Gordon Rd, Toronto, Ontario",-79.458782,43.656646,/CA/Home-For-Sale/ON/Toronto/West-End-Toronto/High-Park/14-Glen-Gordon-Rd/77140317.html,"$1,245,000 CAD",4 Beds,2 Baths,--,Residential
310,"11 Yorkville - 11 Yorkville Avenue, Toronto, ON, Toronto, Ontario",-79.39,43.68,/CA/Home-For-Sale/ON/Toronto/Midtown-Toronto/Rosedale/11-Yorkville-11-Yorkville-Avenue-Toronto-ON/86041617.html,"$663,990 CAD",--,--,--,Residential
311,"62 Forest Manor Rd, Toronto, Ontario",-79.345246,43.773944,/CA/Condo-For-Sale/ON/Toronto/Henry-Farm/62-Forest-Manor-Rd/81686345.html,"$499,000 CAD",1 Bed,1 Bath,--,Condo
312,"No address available, Toronto, Ontario",-79.399366,43.638578,/CA/Condo-For-Sale/ON/Toronto/Cityplace/No-address-available/86999864.html,"$549,990 CAD",1 Bed,1 Bath,--,Condo
313,"88 Parklawn, Toronto, Ontario",-79.3849,43.6529,/CA/Home-For-Sale/ON/Toronto/Bay-Street-Corridor/88-Parklawn/74445954.html,"$668,880 CAD",2 Beds,2 Baths,--,Apartment
314,"104 Bartley Drive, Toronto, Ontario",-79.307937,43.722361,/CA/Other-Sale/ON/Toronto/Victoria-Park-Village/104-Bartley-Drive/82760454.html,"$1,000,000 CAD",--,--,--,Other
315,"No address available, Toronto, Ontario",-79.46,43.65,/CA/Home-For-Sale/ON/Toronto/West-End-Toronto/High-Park/No-address-available/80093079.html,"$600,000 CAD",--,--,--,Residential
1764,"472 Sheppard Ave E Toronto Ontario M1S5B3, Toronto, Ontario",-79.253589,43.789494,/CA/Home-For-Sale/ON/Toronto/Agincourt/472-Sheppard-Ave-E-Toronto-Ontario-M1S5B3/78042209.html,"$449,000 CAD",2 Beds,2 Baths,--,Apartment
317,"8 Sifton Crt, Toronto, Ontario",-79.377211,43.773655,/CA/Home-For-Sale/ON/Toronto/Bayview-Village/8-Sifton-Crt/78096578.html,"$2,888,000 CAD",4 Beds,4 Baths,--,Residential
318,"88 Colgate Ave, Toronto, Ontario",-79.341096,43.66234,/CA/Condo-For-Sale/ON/Toronto/East-End-Toronto/Riverdale/88-Colgate-Ave/87361772.html,"$688,000 CAD",1 Bed,1 Bath,--,Condo
1788,"The King's Mill at Backyard Condos - 150 Berry Road, Toronto, ON, Toronto, Ontario",-70.776924,43.969765,/CA/Home-For-Sale/ON/Toronto/The-Kings-Mill-at-Backyard-Condos-150-Berry-Road-Toronto-ON/86020059.html,"$389,990 CAD",--,--,--,Residential
320,"Bloorlea Cres, Toronto, Ontario",-79.554186,43.638945,/CA/Home-For-Sale/ON/Toronto/Eatonville/Bloorlea-Cres/76414711.html,"$1,385,000 CAD",4 Beds,3 Baths,--,Residential
321,"55 Ann O'reilly Rd, Toronto, Ontario",-79.32976,43.77452,/CA/Condo-For-Sale/ON/Toronto/Pleasantview/55-Ann-Oreilly-Rd/81377947.html,"$639,000 CAD",2 Beds,2 Baths,--,Condo
1812,"168 Clonmore Drive, Toronto, Ontario",-79.277246,43.690544,/CA/Condo-For-Sale/ON/Toronto/Birch-Cliff/168-Clonmore-Drive/82381693.html,"$600,000 CAD",--,--,--,Condo
323,"30 Tippett Road, Toronto, Ontario",-79.448238,43.732994,/CA/Condo-For-Sale/ON/Toronto/Wilson-Heights-Dublin-Heights-Clanton-Park/30-Tippett-Road/81111775.html,"$424,900 CAD",--,--,--,Condo
324,"64 Cordova Ave, Toronto, Ontario",-79.525609,43.646918,/CA/Condo-For-Sale/ON/Toronto/Islington-Village/64-Cordova-Ave/82258445.html,"$801,000 CAD",--,--,--,Condo
1836,"3085 Bloor St W, Toronto, Ontario",-79.514918,43.646369,/CA/Condo-For-Sale/ON/Toronto/Sunnylea/3085-Bloor-St-W/72349871.html,"$1,199,000 CAD",2 Beds,2 Baths,--,Condo
326,"212 Redgrave Dr, Toronto, Ontario",-79.565127,43.67731,/CA/Home-For-Sale/ON/Toronto/Richview/212-Redgrave-Dr/82440673.html,"$899,888 CAD",3 Beds,2 Baths,--,Residential
327,"Old Kingston Road, Toronto, Ontario",-79.177433,43.780056,/CA/Home-For-Sale/ON/Toronto/West-Hill/Old-Kingston-Road/72816875.html,"$1,949,900 CAD",4 Beds,--,--,Residential
328,"38 Nookta Cres, Toronto, Ontario",-79.341931,43.798485,/CA/Home-For-Sale/ON/Toronto/Pleasantview/38-Nookta-Cres/81722908.html,"$799,900 CAD",4 Beds,3 Baths,--,Residential
329,"Saint Clair Avenue West, Toronto, Ontario",-79.446574,43.677418,/CA/Condo-For-Sale/ON/Toronto/Earlscourt/Saint-Clair-Avenue-West/81111901.html,"$428,000 CAD",--,--,--,Condo
330,"No address available, Toronto, Ontario",-79.478244,43.624949,/CA/Condo-For-Sale/ON/Toronto/Humber-Bay/No-address-available/86006107.html,"$699,000 CAD",2 Beds,2 Baths,--,Condo
331,"100 Western Battery Road, Toronto, Ontario",-79.415795,43.639626,/CA/Condo-For-Sale/ON/Toronto/King-West-Village/100-Western-Battery-Road/81225176.html,"$499,900 CAD",1 Bed,1 Bath,--,Condo
332,"223 St Clair Ave W, Toronto, Ontario",-79.404734,43.685682,/CA/Condo-For-Sale/ON/Toronto/South-Hill/223-St-Clair-Ave-W/79810672.html,"$512,990 CAD",1 Bed,1 Bath,--,Condo
1860,"90 Stadium Road, Toronto, Ontario",-79.40156,43.634825,/CA/Condo-For-Sale/ON/Toronto/Fort-York/90-Stadium-Road/81773072.html,"$929,900 CAD",2 Beds,2 Baths,--,Condo
1884,"10 Navy Wharf Crt, Toronto, Ontario",-79.391757,43.640323,/CA/Home-For-Sale/ON/Toronto/Cityplace/10-Navy-Wharf-Crt/84081172.html,"$669,900 CAD",--,--,--,Residential
335,"11 St Joseph St toronto ON, Toronto, Ontario",-79.386093,43.665499,/CA/Home-For-Sale/ON/Toronto/Bay-Street-Corridor/11-St-Joseph-St-toronto-ON/86557569.html,"$555,000 CAD",--,1 Bath,599 Sqft,Residential
336,"234 ALBION RD, Toronto, Ontario",-79.544125,43.721194,/CA/Home-For-Sale/ON/Toronto/The-Elms/234-ALBION-RD/76050101.html,"$349,000 CAD",2 Beds,1 Bath,--,Apartment
337,"21 Iceboat Terr, Toronto, Ontario",-79.396901,43.640507,/CA/Home-For-Sale/ON/Toronto/Cityplace/21-Iceboat-Terr/84081177.html,"$657,000 CAD",--,--,--,Residential
338,"Lawrence Avenue West, Toronto, Ontario",-79.467299,43.711058,/CA/Home-For-Sale/ON/Toronto/Downsview/Lawrence-Avenue-West/78702088.html,"$789,900 CAD",--,--,--,Townhouse
339,"37 Parliment St, Toronto, Ontario",-79.361119,43.649363,/CA/Condo-For-Sale/ON/Toronto/Distillery-District/37-Parliment-St/84388688.html,"$657,900 CAD",1 Bed,1 Bath,--,Condo
340,"36 Blue Jays Way, Toronto, Ontario",-79.392097,43.644884,/CA/Condo-For-Sale/ON/Toronto/Entertainment-District/36-Blue-Jays-Way/84847105.html,"$715,000 CAD",2 Beds,2 Baths,--,Condo
341,"3300 Don Mills Rd Toronto Ontario M2J4X7, Toronto, Ontario",-79.355139,43.791525,/CA/Home-For-Sale/ON/Toronto/Don-Valley-Village/3300-Don-Mills-Rd-Toronto-Ontario-M2J4X7/82440696.html,"$539,000 CAD",2 Beds,2 Baths,--,Apartment
1908,"250 Lawrence Condos - 250 Lawrence Avenue West, Toronto, ON, Toronto, Ontario",-79.413875,43.722936,/CA/Home-For-Sale/ON/Toronto/Bedford-Park/250-Lawrence-Condos-250-Lawrence-Avenue-West-Toronto-ON/86557658.html,"$599,900 CAD",--,--,--,Residential
343,"78 Harrison Garden Blvd, Toronto, Ontario",-79.407116,43.756057,/CA/Condo-For-Sale/ON/Toronto/Willowdale/78-Harrison-Garden-Blvd/82884098.html,"$976,000 CAD",2 Beds,2 Baths,--,Condo
344,"9 Day Ave, Toronto, Ontario",-79.446231,43.681202,/CA/Home-For-Sale/ON/Toronto/Earlscourt/9-Day-Ave/76069638.html,"$929,000 CAD",3 Beds,2 Baths,--,Residential
345,"33 Shore Breeze Dr ``, Toronto, Ontario",-79.479288,43.623517,/CA/Condo-For-Sale/ON/Toronto/Humber-Bay/33-Shore-Breeze-Dr-/86359034.html,"$489,000 CAD",1 Bed,1 Bath,--,Condo
346,"home (Power + Adelaide) - 48 Power Street, Toronto, ON, Toronto, Ontario",-79.3849,43.6529,/CA/Home-For-Sale/ON/Toronto/Bay-Street-Corridor/home-Power-Adelaide-48-Power-Street-Toronto-ON/86041686.html,"$525,900 CAD",--,--,--,Residential
347,"Richmond St W, Toronto, Ontario",-79.395287,43.648119,/CA/Condo-For-Sale/ON/Toronto/Entertainment-District/Richmond-St-W/82759097.html,"$3,559,990 CAD",--,--,--,Condo
348,"295 Adelaide St W, Toronto, Ontario",-79.39076,43.647603,/CA/Condo-For-Sale/ON/Toronto/Entertainment-District/295-Adelaide-St-W/85186796.html,"$648,800 CAD",1 Bed,1 Bath,--,Condo
349,"50 Humberwood Boulevard, Toronto, Ontario",-79.611972,43.721427,/CA/Other-Sale/ON/Toronto/West-Humber-Clairville/50-Humberwood-Boulevard/82258629.html,"$659,990 CAD",--,--,--,Other
350,"38 Grand Magazine St, Toronto, Ontario",-79.40298,43.637279,/CA/Condo-For-Sale/ON/Toronto/Fort-York/38-Grand-Magazine-St/86152673.html,"$749,900 CAD",2 Beds,1 Bath,--,Condo
351,"10 Eddystone Ave, Toronto, Ontario",-79.51714,43.749505,/CA/Home-For-Sale/ON/Toronto/Jane-and-Finch/10-Eddystone-Ave/87238077.html,"$259,000 CAD",3 Beds,2 Baths,--,Residential
1932,"50 Scollard Street, Toronto, Ontario",-79.390037,43.672424,/CA/Condo-For-Sale/ON/Toronto/Yorkville/50-Scollard-Street/82760269.html,"$1,199,900 CAD",--,--,--,Condo
353,"11 Yorkville Avenue, Toronto, Ontario",-79.38825,43.671602,/CA/Condo-For-Sale/ON/Toronto/Yorkville/11-Yorkville-Avenue/82330953.html,"$667,990 CAD",--,--,--,Condo
354,"235 Sherway Gardens Rd, Toronto, Ontario",-79.55872,43.609416,/CA/Condo-For-Sale/ON/Toronto/The-Queensway/235-Sherway-Gardens-Rd/87145412.html,"$524,999 CAD",1 Bed,1 Bath,--,Condo
1956,"The Borough Condos - Tower B - 2180 Lawrence Avenue East, Toronto, ON, Toronto, Ontario",-79.3151,43.6654,/CA/Home-For-Sale/ON/Toronto/The-Beach/The-Borough-Condos-Tower-B-2180-Lawrence-Avenue-East-Toronto-ON/86019628.html,"$251,990 CAD",--,--,--,Residential
356,"No 55 Mercer Condos, Toronto, Ontario",-79.391724,43.645299,/CA/Home-For-Sale/ON/Toronto/Entertainment-District/No-55-Mercer-Condos/85825900.html,"$600,000 CAD",--,--,--,Residential
357,"844 Don Mills Road, Toronto, Ontario",-79.341673,43.722647,/CA/Condo-For-Sale/ON/Toronto/Thorncliffe-Park/844-Don-Mills-Road/82381796.html,"$609,990 CAD",--,--,--,Condo
358,"130A Finch Ave W, Toronto, Ontario",-79.426563,43.777569,/CA/Home-For-Sale/ON/Toronto/Newtonbrook/130A-Finch-Ave-W/85241862.html,"$899,000 CAD",3 Beds,3 Baths,--,Residential
359,"No address available, Toronto, Ontario",-79.397807,43.640311,/CA/Condo-For-Sale/ON/Toronto/Cityplace/No-address-available/85973963.html,"$650,000 CAD",1 Bed,1 Bath,--,Condo
360,"The Saint - 89 Church Street, Toronto, ON, Toronto, Ontario",-79.3849,43.6529,/CA/Home-For-Sale/ON/Toronto/Bay-Street-Corridor/The-Saint-89-Church-Street-Toronto-ON/86041639.html,"$504,900 CAD",--,--,--,Residential
361,"Riverview - Birchmount Road, Markham, ON, Toronto, Ontario",-79.293785,43.770966,/CA/Home-For-Sale/ON/Toronto/Scarborough/Dorset-Park/Riverview-Birchmount-Road-Markham-ON/86569710.html,"$705,400 CAD",--,--,--,Residential
362,"No address available, Toronto, Ontario",-79.159488,43.793125,/CA/Home-For-Sale/ON/Toronto/Highland-Creek/No-address-available/81738373.html,"$900,000 CAD",--,--,--,Residential
